,P,B
QD0FL0ST4TR0PR0,7.44490768314473e-05,0.9999255509231686
QD0FL0ST0TR1PR1,0.00028901734104046245,0.9997109826589595
QD0FL0ST0TR0PR0,0.137454768515172,0.8625452314848281
QD0FL5ST4TR0PR0,0.022727272727272728,0.9772727272727273
QD0FL0ST5TR0PR0,0.0006675567423230974,0.9993324432576769
QD0FL5ST5TR0PR0,0.07142857142857142,0.9285714285714286
QD0FL0ST0TR0PR1,6.061509776609119e-07,0.9999993938490224
QD1FL0ST0TR0PR0,0.0013736263736263737,0.9986263736263736
QD0FL0ST0TR1PR0,3.140752602466677e-05,0.9999685924739753
QD0FL0ST0TR0PR2,0.00013471129036553764,0.9998652887096345
QD0FL5ST0TR0PR0,0.00012572290671360322,0.9998742770932864
QD0FL4ST0TR0PR1,2.366751869733977e-05,0.9999763324813027
QD0FL4ST5TR0PR0,0.016129032258064516,0.9838709677419355
QD0FL4ST0TR0PR0,1.0557432432432433e-05,0.9999894425675676
QD0FL4ST4TR0PR0,0.0016129032258064516,0.9983870967741936
QD0FL0ST4TR0PR0P,0.00022029666617711852,0.9997797033338229
QD0FL0ST0TR1PR1P,0.2369796938920302,0.7630203061079698
QD0FL0ST0TR0PR0P,0.3888208538133134,0.6111791461866867
QD0FL5ST4TR0PR0P,0.16666666666666666,0.8333333333333334
QD0FL0ST5TR0PR0P,0.0012970168612191958,0.9987029831387808
QD0FL5ST5TR0PR0P,0.25,0.75
QD0FL0ST0TR0PR1P,3.4339813244561006e-05,0.9999656601867555
QD1FL0ST0TR0PR0P,0.10762942779291552,0.8923705722070845
QD0FL0ST0TR1PR0P,0.000467526395761094,0.9995324736042389
QD0FL0ST0TR0PR2P,0.00012612461111578238,0.9998738753888842
QD0FL5ST0TR0PR0P,0.0002573340195573855,0.9997426659804426
QD0FL4ST0TR0PR1P,0.00014304105278214847,0.9998569589472178
QD0FL4ST5TR0PR0P,0.08771929824561403,0.9122807017543859
QD0FL4ST0TR0PR0P,6.595354240901278e-05,0.9999340464575911
QD0FL4ST4TR0PR0P,0.01524390243902439,0.9847560975609756
QD0FL0ST4TR0PR0B,7.34322220590395e-05,0.999926567777941
QD0FL0ST0TR1PR1B,0.0002981514609421586,0.9997018485390579
QD0FL0ST0TR0PR0B,0.0002173896926615881,0.9997826103073384
QD0FL5ST4TR0PR0B,0.020833333333333332,0.9791666666666666
QD0FL0ST5TR0PR0B,0.0006485084306095979,0.9993514915693904
QD0FL5ST5TR0PR0B,0.08333333333333333,0.9166666666666666
QD0FL0ST0TR0PR1B,6.06341360484491e-07,0.9999993936586395
QD1FL0ST0TR0PR0B,0.0013623978201634877,0.9986376021798365
QD0FL0ST0TR1PR0B,1.9480266490045583e-05,0.99998051973351
QD0FL0ST0TR0PR2B,5.255192129824266e-06,0.9999947448078702
QD0FL5ST0TR0PR0B,0.00012866700977869275,0.9998713329902214
QD0FL4ST0TR0PR1B,2.3840175463691413e-05,0.9999761598245364
QD0FL4ST5TR0PR0B,0.008771929824561403,0.9912280701754386
QD0FL4ST0TR0PR0B,3.362998520280651e-05,0.9999663700147972
QD0FL4ST4TR0PR0B,0.001524390243902439,0.9984756097560976
QD0FL0ST4TR0PR0PB,0.5,0.5
QD0FL0ST0TR1PR1PB,0.5,0.5
QD0FL0ST0TR0PR0PB,1.8705975397217627e-06,0.9999981294024602
QD0FL5ST4TR0PR0PB,0.5,0.5
QD0FL0ST5TR0PR0PB,0.5,0.5
QD0FL5ST5TR0PR0PB,0.5,0.5
QD0FL0ST0TR0PR1PB,0.5,0.5
QD1FL0ST0TR0PR0PB,0.5,0.5
QD0FL0ST0TR1PR0PB,0.5347776005670742,0.46522239943292576
QD0FL0ST0TR0PR2PB,0.019548329817351603,0.9804516701826484
QD0FL5ST0TR0PR0PB,0.5,0.5
QD0FL4ST0TR0PR1PB,0.5,0.5
QD0FL4ST5TR0PR0PB,0.5,0.5
QD0FL4ST0TR0PR0PB,0.5,0.5
QD0FL4ST4TR0PR0PB,0.5,0.5
