,P,B
AA,0.00021920210434020167,0.9997807978956598
AKs,0.0004755865567533291,0.9995244134432467
AKo,0.00011143302874972142,0.9998885669712503
AQs,0.00032938076416337287,0.9996706192358367
AQo,0.00010993843447669306,0.9998900615655233
AJs,0.0003348961821835231,0.9996651038178165
AJo,0.00011276499774470004,0.9998872350022553
ATs,0.0014494693219634965,0.9985505306780366
ATo,0.0023934507769233244,0.9976065492230766
A9s,0.0028735632183908046,0.9971264367816092
A9o,0.00011064394777605666,0.999889356052224
A8s,0.0011160714285714285,0.9988839285714286
A8o,0.00016286644951140066,0.9998371335504886
A7s,0.00547099044515903,0.9945290095548409
A7o,0.00016219723183391003,0.9998378027681661
A6s,0.006116442824752722,0.9938835571752473
A6o,0.003625903214031091,0.996374096785969
A5s,0.00033738191632928474,0.9996626180836707
A5o,0.00011230907457322552,0.9998876909254267
A4s,0.00032133676092544985,0.9996786632390745
A4o,0.004126604978856092,0.9958733950211439
A3s,0.015184125966985167,0.9848158740330147
A3o,0.011202164490005145,0.9887978355099949
A2s,0.019027412054549504,0.9809725879454505
A2o,0.00015820111508747147,0.9998417988849125
KK,0.0002254283137962128,0.9997745716862038
KQs,0.0003278688524590164,0.9996721311475409
KQo,0.00010789814415192059,0.9998921018558481
KJs,0.0022825876476136766,0.9977174123523863
KJo,0.00011042402826855124,0.9998895759717314
KTs,0.00031055900621118014,0.9996894409937889
KTo,0.00020755368259589034,0.9997924463174042
K9s,0.0017110655922163171,0.9982889344077838
K9o,0.00020535697055153052,0.9997946430294484
K8s,0.0013417486207723676,0.9986582513792276
K8o,0.00010996261271167803,0.9998900373872883
K7s,0.00033852403520649965,0.9996614759647935
K7o,0.0060124561907337675,0.9939875438092663
K6s,0.0026666684317796664,0.9973333315682203
K6o,0.0002525819488100584,0.9997474180511899
K5s,0.00034317089910775565,0.9996568291008923
K5o,0.00011312217194570136,0.9998868778280543
K4s,0.00033647375504710633,0.9996635262449529
K4o,0.025216780786420947,0.9747832192135791
K3s,0.00032133676092544985,0.9996786632390745
K3o,0.00016782277914522266,0.9998321772208548
K2s,0.09446231277343178,0.9055376872265682
K2o,0.004560508464320796,0.9954394915356793
QQ,0.000224517287831163,0.9997754827121689
QJs,0.0013581918369022226,0.9986418081630978
QJo,0.00011213276519398969,0.999887867234806
QTs,0.00032362459546925567,0.9996763754045307
QTo,0.0022604183470485975,0.9977395816529514
Q9s,0.00033090668431502316,0.999669093315685
Q9o,0.005571438299946281,0.9944285617000537
Q8s,0.007579308645738647,0.9924206913542614
Q8o,0.0008912952185269154,0.999108704781473
Q7s,0.0003270111183780249,0.9996729888816219
Q7o,0.0003760864720303098,0.9996239135279696
Q6s,0.00033444816053511704,0.9996655518394649
Q6o,0.00024839920512254363,0.9997516007948775
Q5s,0.048555638065060004,0.95144436193494
Q5o,0.00011410314924691921,0.9998858968507531
Q4s,0.03742976718233775,0.9625702328176623
Q4o,0.01175044795480474,0.9882495520451952
Q3s,0.003276383686166884,0.9967236163138331
Q3o,0.001212006958345751,0.9987879930416543
Q2s,0.08254175903831046,0.9174582409616895
Q2o,0.00011190689346463742,0.9998880931065354
JJ,0.004373011893425558,0.9956269881065745
JTs,0.00033046926635822867,0.9996695307336417
JTo,0.00011039964672113049,0.9998896003532789
J9s,0.00033200531208499334,0.999667994687915
J9o,0.011728291522078271,0.9882717084779218
J8s,0.002959610027855153,0.9970403899721448
J8o,0.00011054609772275039,0.9998894539022772
J7s,0.0021419454395009874,0.997858054560499
J7o,0.03181635418690381,0.9681836458130962
J6s,0.07165023507769991,0.9283497649223001
J6o,0.04818041620713238,0.9518195837928676
J5s,0.0026850900160384295,0.9973149099839617
J5o,0.0052523229449307944,0.9947476770550692
J4s,0.00157599847884134,0.9984240015211586
J4o,0.014749922858609077,0.9852500771413909
J3s,0.0003450655624568668,0.9996549344375432
J3o,0.0003315649867374005,0.9996684350132626
J2s,0.019744100452478753,0.9802558995475213
J2o,0.030154246714823627,0.9698457532851764
TT,0.00022055580061755624,0.9997794441993825
T9s,0.010633959283477943,0.9893660407165221
T9o,0.00010926573426573427,0.9998907342657343
T8s,0.01392537546750341,0.9860746245324966
T8o,0.014658354418245834,0.9853416455817541
T7s,0.00956209163231004,0.99043790836769
T7o,0.00011198208286674133,0.9998880179171332
T6s,0.0611010987133286,0.9388989012866715
T6o,0.015601320863968711,0.9843986791360313
T5s,0.00033046926635822867,0.9996695307336417
T5o,0.00010909884355225835,0.9998909011564477
T4s,0.0007596218771100607,0.9992403781228899
T4o,0.00011193194537721066,0.9998880680546228
T3s,0.0003234152652005175,0.9996765847347995
T3o,0.043413928479469704,0.9565860715205303
T2s,0.2690915243067436,0.7309084756932565
T2o,0.10045824559921351,0.8995417544007864
99,0.0002207505518763797,0.9997792494481236
98s,0.00034083162917518747,0.9996591683708248
98o,0.00011111111111111112,0.9998888888888889
97s,0.0003225806451612903,0.9996774193548387
97o,0.0006801369720049618,0.999319863027995
96s,0.059412625343292086,0.9405873746567079
96o,0.00010843634786380394,0.9998915636521362
95s,0.0003287310979618672,0.9996712689020382
95o,0.0032904418072478105,0.9967095581927522
94s,0.0003315649867374005,0.9996684350132626
94o,0.00011079104808331487,0.9998892089519167
93s,0.0006447061113273646,0.9993552938886726
93o,0.00010960105217010084,0.9998903989478299
92s,0.0008531873792659368,0.999146812620734
92o,0.0049640179317661905,0.9950359820682338
88,0.00021853146853146853,0.9997814685314685
87s,0.0017943229278608653,0.9982056770721391
87o,0.0001088139281828074,0.9998911860718172
86s,0.004785894206549118,0.9952141057934509
86o,0.0012726217375059153,0.9987273782624941
85s,0.029969491715540295,0.9700305082844598
85o,0.002194495759992926,0.9978055042400071
84s,0.00033534540576794097,0.999664654594232
84o,0.00011193194537721066,0.9998880680546228
83s,0.0003315649867374005,0.9996684350132626
83o,0.0001393840071634932,0.9998606159928365
82s,0.20362403607915164,0.7963759639208484
82o,0.00011049723756906077,0.9998895027624309
77,0.000498804968593108,0.999501195031407
76s,0.18227034067455064,0.8177296593254493
76o,0.19930268782509156,0.8006973121749084
75s,0.004733373728145327,0.9952666262718547
75o,0.012434795083146233,0.9875652049168538
74s,0.01511929195889422,0.9848807080411057
74o,0.4558906704576282,0.5441093295423717
73s,0.03736262364571183,0.9626373763542883
73o,0.923436022380902,0.07656397761909797
72s,0.04932509575601357,0.9506749042439865
72o,0.9286330925093519,0.07136690749064813
66,0.0006043956043956044,0.9993956043956044
65s,0.030658047584237673,0.9693419524157623
65o,0.12742386041053247,0.8725761395894676
64s,0.2842590177025633,0.7157409822974368
64o,0.14301971308326214,0.856980286916738
63s,0.18301978264480628,0.8169802173551937
63o,0.8777334929454517,0.12226650705454822
62s,0.9465101684325112,0.053489831567488856
62o,0.9860009698798382,0.013999030120161743
55,0.0021459192650995053,0.9978540807349005
54s,0.10824806130126381,0.8917519386987363
54o,0.00010991426687183997,0.9998900857331282
53s,0.30560442137597094,0.694395578624029
53o,0.09667011262131318,0.9033298873786868
52s,0.40254100479106064,0.5974589952089394
52o,0.0005089078992945406,0.9994910921007055
44,0.0488835103626051,0.9511164896373948
43s,0.011755809402590332,0.9882441905974096
43o,0.17722767812102613,0.8227723218789739
42s,0.6258036592596754,0.37419634074032465
42o,0.9669912750886003,0.03300872491139977
33,0.007880029036764753,0.9921199709632353
32s,0.9896959480303877,0.010304051969612257
32o,0.907172045406013,0.09282795459398702
22,0.0014239470636971104,0.9985760529363028
AAP,0.0021011790880681395,0.9978988209119317
AKsP,0.013911608770990172,0.9860883912290098
AKoP,0.0026354324541692817,0.9973645675458308
AQsP,0.028395802702014906,0.9716041972979851
AQoP,0.00044742729306487697,0.9995525727069351
AJsP,0.0013157894736842105,0.9986842105263158
AJoP,0.029215518846840902,0.970784481153159
ATsP,0.038464587565963354,0.9615354124340366
AToP,0.016995770593932053,0.9830042294060679
A9sP,0.012764393077552586,0.9872356069224474
A9oP,0.0063627122080424,0.9936372877919576
A8sP,0.00032615786040443573,0.9996738421395955
A8oP,0.00011101243339253997,0.9998889875666075
A7sP,0.0006738544474393531,0.9993261455525606
A7oP,0.00025072879998679694,0.9997492712000133
A6sP,0.0009652509652509653,0.999034749034749
A6oP,0.02337058681832938,0.9766294131816705
A5sP,0.0024062123470565354,0.9975937876529435
A5oP,0.033050937513644234,0.9669490624863558
A4sP,0.06233840003340198,0.937661599966598
A4oP,0.03879181071484713,0.9612081892851528
A3sP,0.06240736525045892,0.9375926347495411
A3oP,0.00011076650420912716,0.9998892334957908
A2sP,0.02743375756290072,0.9725662424370993
A2oP,0.10131073752192249,0.8986892624780776
KKP,0.0024261138067931186,0.9975738861932069
KQsP,0.0003380662609871535,0.9996619337390128
KQoP,0.0031897659096131194,0.9968102340903869
KJsP,0.03746772070192927,0.9625322792980706
KJoP,0.00011215791834903544,0.9998878420816509
KTsP,0.0003194888178913738,0.9996805111821087
KToP,0.00011010790574763268,0.9998898920942524
K9sP,0.0023079929344431024,0.9976920070655569
K9oP,0.00011066843736166445,0.9998893315626384
K8sP,0.013001164651779525,0.9869988353482205
K8oP,0.009053314702850332,0.9909466852971496
K7sP,0.005808214128559425,0.9941917858714405
