,P,B
AA,2.212878955521133e-05,0.9999778712104448
AKs,0.0006224509542856152,0.9993775490457144
AKo,1.1106421733046046e-05,0.9999888935782669
AQs,3.329559832190184e-05,0.9999667044016781
AQo,1.0950503723171266e-05,0.9999890494962769
AJs,0.0010138895252306038,0.9989861104747694
AJo,1.1112839775076123e-05,0.9999888871602249
ATs,0.0012645105646034891,0.9987354894353965
ATo,0.00018460980608660265,0.9998153901939134
A9s,0.0004619393353310702,0.9995380606646689
A9o,1.1114321915219952e-05,0.9999888856780847
A8s,8.277597510098668e-05,0.999917224024899
A8o,1.1032900108122421e-05,0.9999889670998918
A7s,3.276110601493906e-05,0.9999672388939851
A7o,0.0006799279150784375,0.9993200720849215
A6s,3.305129561078794e-05,0.9999669487043892
A6o,8.320021299254526e-05,0.9999167997870074
A5s,3.292506255761886e-05,0.9999670749374424
A5o,1.6530018513620737e-05,0.9999834699814864
A4s,0.0007088375537603913,0.9992911624462396
A4o,1.1085491308974813e-05,0.999988914508691
A3s,7.522064723188018e-05,0.9999247793527681
A3o,1.6498020237571493e-05,0.9999835019797624
A2s,3.293807641633728e-05,0.9999670619235836
A2o,1.097622549557658e-05,0.9999890237745044
KK,9.84178848423798e-05,0.9999015821151576
KQs,0.0002289647739130503,0.9997710352260869
KQo,0.0002627841776283061,0.9997372158223717
KJs,0.0009497267466729609,0.999050273253327
KJo,0.0003571784062225548,0.9996428215937775
KTs,0.0018748206486744988,0.9981251793513255
KTo,8.83435026838014e-05,0.9999116564973162
K9s,0.0006003888573035611,0.9993996111426964
K9o,1.099360172379675e-05,0.9999890063982761
K8s,0.00019739439399921041,0.9998026056060008
K8o,0.00016357141418540898,0.9998364285858146
K7s,3.347840642785403e-05,0.9999665215935721
K7o,1.104533003446143e-05,0.9999889546699655
K6s,3.3575073865162504e-05,0.9999664249261349
K6o,0.00010823833827409514,0.999891761661726
K5s,0.00013813621822479765,0.9998618637817752
K5o,4.588196236860808e-05,0.9999541180376313
K4s,0.0021413417521045923,0.9978586582478954
K4o,3.968690113437153e-05,0.9999603130988657
K3s,6.274260473832152e-05,0.9999372573952616
K3o,7.026339258151092e-05,0.9999297366074186
K2s,3.267546725918181e-05,0.9999673245327408
K2o,1.1059010882066709e-05,0.999988940989118
QQ,2.2353361945636624e-05,0.9999776466380543
QJs,0.0006666724464180628,0.999333327553582
QJo,2.922106563161609e-05,0.9999707789343685
QTs,3.303164431525401e-05,0.9999669683556848
QTo,4.645139118148047e-05,0.9999535486088185
Q9s,3.264986287057595e-05,0.9999673501371295
Q9o,3.9340149813621354e-05,0.9999606598501865
Q8s,0.00013437531410547088,0.9998656246858945
Q8o,0.00039100691283776344,0.9996089930871622
Q7s,3.343810606567244e-05,0.9999665618939343
Q7o,1.0964431384588396e-05,0.9999890355686154
Q6s,3.334444814938313e-05,0.9999666555518506
Q6o,3.5230320206049935e-05,0.999964769679794
Q5s,0.006452432872169958,0.99354756712783
Q5o,1.1020498126515318e-05,0.9999889795018735
Q4s,3.332888948140248e-05,0.9999666711105186
Q4o,0.0009457595412197548,0.9990542404587802
Q3s,3.317189676905725e-05,0.9999668281032309
Q3o,0.0005677304173408705,0.9994322695826592
Q2s,0.00010485983143049239,0.9998951401685695
Q2o,0.0003900221727171831,0.9996099778272828
JJ,3.3322966188296976e-05,0.9999666770338117
JTs,0.00042880946157867225,0.9995711905384214
JTo,0.0038631481520692824,0.9961368518479307
J9s,0.00017029756349083982,0.9998297024365093
J9o,1.1101982814130603e-05,0.9999888980171858
J8s,3.3599892480344065e-05,0.9999664001075197
J8o,0.0009880913037807726,0.9990119086962193
J7s,3.333111125924938e-05,0.9999666688887408
J7o,8.21166843167989e-05,0.9999178833156832
J6s,0.0017679403002058332,0.9982320596997942
J6o,1.1062191641407996e-05,0.9999889378083586
J5s,0.0001258616178115902,0.9998741383821883
J5o,1.1101982814130603e-05,0.9999888980171858
J4s,0.00010726780645587167,0.9998927321935441
J4o,1.1046062078868883e-05,0.9999889539379211
J3s,0.001061214892716692,0.9989387851072833
J3o,1.1097301136363637e-05,0.9999889026988636
J2s,0.0019212494190023364,0.9980787505809977
J2o,0.0006737459831521681,0.9993262540168478
TT,0.0002751820830812154,0.9997248179169188
T9s,3.309723969020984e-05,0.9999669027603098
T9o,0.00220638888632723,0.9977936111136728
T8s,0.0001226506780351157,0.9998773493219648
T8o,1.0999406032074268e-05,0.9999890005939679
T7s,0.00021425234951485383,0.9997857476504851
T7o,1.1062191641407996e-05,0.9999889378083586
T6s,0.0006697078490851707,0.9993302921509148
T6o,0.0015785614927054826,0.9984214385072945
T5s,0.005227808680474318,0.9947721913195257
T5o,1.099215160375492e-05,0.9999890078483963
T4s,0.006750168144999957,0.9932498318549999
T4o,1.1127926644707557e-05,0.9999888720733553
T3s,0.00010687273923051628,0.9998931272607695
T3o,0.016628276437459694,0.9833717235625403
T2s,0.010102659648082515,0.9898973403519175
T2o,0.00861105212004082,0.9913889478799591
99,0.00016456774546306068,0.999835432254537
98s,0.0001154008769756855,0.9998845991230243
98o,0.0005883352611775851,0.9994116647388224
97s,0.00018305265259934767,0.9998169473474007
97o,0.0003770506949962092,0.9996229493050038
96s,3.3053480531499964e-05,0.9999669465194685
96o,1.1014671542494603e-05,0.9999889853284575
95s,3.294458720432233e-05,0.9999670554127956
95o,4.899907780429697e-05,0.9999510009221957
94s,0.005471871626275782,0.9945281283737242
94o,1.1015642211940957e-05,0.999988984357788
93s,9.676884095544315e-05,0.9999032311590446
93o,4.8715344100485e-05,0.9999512846558994
92s,3.295544423938835e-05,0.9999670445557606
92o,0.0003924435498822687,0.9996075564501178
88,0.00037712417956572205,0.9996228758204343
87s,0.00019142419601837673,0.9998085758039816
87o,3.68405540819334e-05,0.9999631594459181
86s,0.00045370332977483343,0.9995462966702251
86o,1.1176680972818312e-05,0.9999888233190272
85s,3.293590672551215e-05,0.9999670640932745
85o,1.658374792703151e-05,0.999983416252073
84s,0.01230249398686,0.98769750601314
84o,1.1059989382410192e-05,0.9999889400106176
83s,0.004039023220108046,0.995960976779892
83o,1.0996261271167803e-05,0.9999890037387288
82s,0.004194772255813162,0.9958052277441869
82o,1.6621603652320376e-05,0.9999833783963477
77,2.889298155799674e-05,0.9999711070184419
76s,8.794907818612991e-05,0.9999120509218139
76o,0.021070777484844656,0.9789292225151554
75s,0.011159122628809137,0.9888408773711909
75o,0.0006499908165497426,0.9993500091834503
74s,0.03687563976634398,0.963124360233656
74o,0.03866591360848978,0.9613340863915103
73s,0.0014867756522964535,0.9985132243477035
73o,0.0611307045391712,0.9388692954608288
72s,0.14659430293180117,0.8534056970681989
72o,0.2523121411157415,0.7476878588842585
66,0.0001255657872254051,0.9998744342127747
65s,0.0003130457321635271,0.9996869542678365
65o,2.4155003738077625e-05,0.9999758449962619
64s,0.016659968637904504,0.9833400313620955
64o,0.013158791180076006,0.9868412088199241
63s,0.06089090367556043,0.9391090963244395
63o,0.3709941934796193,0.6290058065203807
62s,0.7967038804787854,0.20329611952121457
62o,0.9586506599677017,0.04134934003229821
55,2.2031284423881914e-05,0.9999779687155761
54s,0.008848172607014405,0.9911518273929856
54o,0.010186814903443508,0.9898131850965565
53s,3.313452617627568e-05,0.9999668654738237
53o,0.03824685717833503,0.9617531428216649
52s,7.957999340391057e-05,0.9999204200065961
52o,0.02507371218184331,0.9749262878181567
44,0.0022428000046653654,0.9977571999953346
43s,3.351655717924655e-05,0.9999664834428208
43o,1.110790216159776e-05,0.9999888920978384
42s,3.309723969020984e-05,0.9999669027603098
42o,0.07308425155612008,0.92691574844388
33,0.007477629600647778,0.9925223703993522
32s,0.9304326459085408,0.06956735409145923
32o,0.9967227123009874,0.0032772876990125248
22,0.03838253195236099,0.961617468047639
AAP,0.00020011358382517074,0.9997998864161749
AKsP,0.0007677462646236213,0.9992322537353763
AKoP,2.2008495279177764e-05,0.9999779915047208
AQsP,3.377693710734311e-05,0.9999662230628926
AQoP,4.4479039252752143e-05,0.9999555209607472
AJsP,3.363832077502691e-05,0.9999663616792249
AJoP,0.00012149298152265546,0.9998785070184772
ATsP,0.0015184538437502603,0.9984815461562497
AToP,0.0005408411783595695,0.9994591588216404
A9sP,0.0004142904526496516,0.9995857095473504
A9oP,0.001329874769424702,0.9986701252305753
A8sP,0.005516144440932795,0.9944838555590673
A8oP,0.000870158369035321,0.9991298416309646
A7sP,0.0006027363218355727,0.9993972636781645
A7oP,0.00017468565332022566,0.9998253143466798
A6sP,0.010359557980799856,0.9896404420192001
A6oP,0.0004534850106209486,0.999546514989379
A5sP,0.007611743655446325,0.9923882563445536
A5oP,0.001328277946105039,0.998671722053895
A4sP,6.632619221330503e-05,0.9999336738077867
A4oP,0.0013114987704570776,0.9986885012295429
A3sP,3.3559299281830995e-05,0.9999664407007182
A3oP,0.0002434077535225636,0.9997565922464775
A2sP,0.0006684157165516748,0.9993315842834484
A2oP,1.1044110176043117e-05,0.999988955889824
KKP,0.0010623075637594375,0.9989376924362406
KQsP,0.0005871641035916085,0.9994128358964084
KQoP,5.728423836082658e-05,0.9999427157616392
KJsP,0.002852246711336477,0.9971477532886636
KJoP,0.0013384490785530471,0.9986615509214469
KTsP,0.0010537484148188164,0.9989462515851812
KToP,1.0959144310012275e-05,0.99998904085569
K9sP,0.009512656664761962,0.990487343335238
K9oP,0.00016359282515215142,0.9998364071748479
K8sP,0.0004452869386401853,0.9995547130613598
K8oP,4.3928045860879876e-05,0.9999560719541392
K7sP,0.0040729863862129945,0.9959270136137871
K7oP,0.0009487026129159957,0.9990512973870841
K6sP,0.006923034128308876,0.993076965871691
K6oP,1.1142806204314495e-05,0.9999888571937957
K5sP,3.278688524590164e-05,0.9999672131147541
K5oP,1.1069293779056897e-05,0.999988930706221
K4sP,3.326901324106727e-05,0.9999667309867589
K4oP,0.003744101613747474,0.9962558983862525
K3sP,0.01783628008388356,0.9821637199161165
K3oP,0.0004834932711907372,0.9995165067288093
K2sP,0.0024467725854051227,0.997553227414595
K2oP,0.0001223919027407086,0.9998776080972592
QQP,4.392322220758115e-05,0.9999560767777924
QJsP,0.00019934879393979665,0.9998006512060602
QJoP,3.320714617785747e-05,0.9999667928538222
QTsP,0.002200179706674743,0.9977998202933253
QToP,1.104703828903471e-05,0.999988952961711
Q9sP,0.002900778928410709,0.9970992210715892
Q9oP,1.1066108934776354e-05,0.9999889338910652
Q8sP,0.00036542422430403297,0.9996345757756959
Q8oP,0.002099260012312211,0.9979007399876878
Q7sP,0.0012487975620023646,0.9987512024379976
Q7oP,1.1058032554847842e-05,0.9999889419674451
