,P,B
AA,0.8063604860871303,0.1936395139128697
AKs,0.595969245057367,0.4040307549426331
AKo,0.0003546099290780142,0.999645390070922
AQs,0.030940399325352013,0.969059600674648
AQo,0.041917395349303645,0.9580826046506963
AJs,0.09699549549712558,0.9030045045028744
AJo,0.015147928617080737,0.9848520713829193
ATs,0.481261387830796,0.5187386121692041
ATo,0.7713443650551082,0.22865563494489177
A9s,0.39269090842952326,0.6073090915704767
A9o,0.0031454925729642235,0.9968545074270359
A8s,0.1914566704250228,0.8085433295749772
A8o,0.33070903980885136,0.6692909601911486
A7s,0.2647491746860165,0.7352508253139836
A7o,0.0028111380615646847,0.9971888619384354
A6s,0.09825348039343389,0.901746519606566
A6o,0.6339313155454751,0.3660686844545249
A5s,0.542284194645995,0.457715805354005
A5o,0.6147831378225117,0.38521686217748824
A4s,0.0382952329835458,0.9617047670164542
A4o,0.39426857892234557,0.6057314210776545
A3s,0.004720676149247578,0.9952793238507525
A3o,0.4184496172441921,0.581550382755808
A2s,0.0026569674456998395,0.9973430325543001
A2o,0.2708943437426978,0.7291056562573023
KK,0.9266869375886785,0.07331306241132148
KQs,0.1138417050380644,0.8861582949619355
KQo,0.11090175050789947,0.8890982494921005
KJs,0.23762141877837997,0.76237858122162
KJo,0.058082128830298445,0.9419178711697016
KTs,0.012083400925558395,0.9879165990744416
KTo,0.6740257309694058,0.32597426903059423
K9s,0.2525652630445204,0.7474347369554796
K9o,0.002820775126879893,0.9971792248731202
K8s,0.2456930578028832,0.7543069421971168
K8o,0.1322145774340182,0.8677854225659819
K7s,0.6106281200583028,0.38937187994169725
K7o,0.03070451390937516,0.9692954860906249
K6s,0.7960446941017546,0.2039553058982454
K6o,0.027995611784623252,0.9720043882153767
K5s,0.00928244175625665,0.9907175582437433
K5o,0.000343878954607978,0.999656121045392
K4s,0.001098901098901099,0.9989010989010989
K4o,0.0010515428327131054,0.998948457167287
K3s,0.015376626887779939,0.9846233731122201
K3o,0.06390997724797028,0.9360900227520298
K2s,0.030315025879592186,0.9696849741204078
K2o,0.0003436426116838488,0.9996563573883162
QQ,0.9558833930582803,0.04411660694171965
QJs,0.945764046335995,0.054235953664004924
QJo,0.06189006998000053,0.9381099300199994
QTs,0.01738715278665218,0.9826128472133479
QTo,0.2822987037528224,0.7177012962471776
Q9s,0.9026098366301913,0.09739016336980864
Q9o,0.0030140794451153294,0.9969859205548847
Q8s,0.30619762327145794,0.6938023767285421
Q8o,0.21894867948311905,0.7810513205168809
Q7s,0.3611481021578175,0.6388518978421825
Q7o,0.9971529709074399,0.002847029092560078
Q6s,0.001765380065069506,0.9982346199349306
Q6o,0.124486031651437,0.875513968348563
Q5s,0.056009892354121404,0.9439901076458785
Q5o,0.00034578146611341634,0.9996542185338866
Q4s,0.29675231037761235,0.7032476896223877
Q4o,0.02903250702442323,0.9709674929755767
Q3s,0.006630648330058939,0.9933693516699411
Q3o,0.5549538350551511,0.445046164944849
Q2s,0.13844516275398988,0.8615548372460102
Q2o,0.9119575541895009,0.08804244581049907
JJ,0.987552291825199,0.012447708174801028
JTs,0.5938978725577665,0.40610212744223345
JTo,0.604495679923396,0.395504320076604
J9s,0.6160591260883936,0.3839408739116063
J9o,0.01482193861667384,0.9851780613833262
